temperature_keV,density_requested_g_cm3,density_used_g_cm3,density_was_clipped,photon_energy_keV,rosseland_multigroup_cm2_g,planck_multigroup_cm2_g
0.001,0.00083022,0.00083022,false,0.001,2521.2,2549
0.001,0.00083022,0.00083022,false,0.0014831,2648.7,4360.4
0.001,0.00083022,0.00083022,false,0.0021995,1927.8,2004.4
0.001,0.00083022,0.00083022,false,0.003262,1004.3,1066.1
0.001,0.00083022,0.00083022,false,0.0048377,595.25,606.44
0.001,0.00083022,0.00083022,false,0.0071746,1283,1233400
0.001,0.00083022,0.00083022,false,0.01064,429520,1094600
0.001,0.00083022,0.00083022,false,0.01578,811270,848090
0.001,0.00083022,0.00083022,false,0.023403,296530,302950
0.001,0.00083022,0.00083022,false,0.034709,100230,101210
