temperature_keV,density_requested_g_cm3,density_used_g_cm3,density_was_clipped,rosseland_cm2_g,planck_cm2_g,free_electrons,avg_sq_free_electrons
0.002,0.0081113,0.0081113,false,78197,663720,0.12281,0.12281
0.002,0.0095455,0.0095455,false,84203,650180,0.11539,0.11539
0.002,0.011233,0.011233,false,91220,634240,0.10666,0.10666
0.002,0.013219,0.013219,false,99413,615500,0.09639,0.09639
0.002,0.015557,0.015557,false,107080,607560,0.092032,0.092032
0.002,0.018307,0.018307,false,115030,604410,0.090327,0.090327
0.002,0.021544,0.021544,false,124080,600660,0.08832,0.08832
0.002,0.025354,0.025354,false,134290,596150,0.085958,0.085958
0.002,0.029836,0.029836,false,145710,590760,0.083179,0.083179
0.002,0.035112,0.035112,false,158300,584310,0.079909,0.079909
0.002,0.04132,0.04132,false,171790,576610,0.07606,0.07606
0.002,0.048626,0.048626,false,185040,568020,0.071671,0.071671
0.002,0.057224,0.057224,false,200820,580780,0.071589,0.071589
0.002,0.067342,0.067342,false,218390,595300,0.071493,0.071493
0.002,0.079248,0.079248,false,237650,611680,0.07138,0.07138
0.002,0.09326,0.09326,false,258160,630190,0.071247,0.071247
0.002,0.10975,0.10975,false,278520,650970,0.07109,0.07109
0.002,0.12915,0.12915,false,292570,673960,0.070906,0.070906
0.002,0.15199,0.15199,false,324000,701600,0.073376,0.073376
0.002,0.17886,0.17886,false,359640,730510,0.076299,0.076299
0.002,0.21049,0.21049,false,399560,760200,0.079739,0.079739
0.002,0.24771,0.24771,false,443820,790010,0.083786,0.083786
0.002,0.29151,0.29151,false,499280,824060,0.090618,0.090618
0.002,0.34305,0.34305,false,564610,857650,0.1011,0.1011
0.002,0.4037,0.4037,false,629160,882020,0.11344,0.11344
0.002,0.47508,0.47508,false,715900,911990,0.13471,0.13471
0.002,0.55908,0.55908,false,807000,937010,0.1707,0.1707
0.002,0.65793,0.65793,false,869030,955360,0.23544,0.23544
0.002,0.77426,0.77426,false,831120,925220,0.33995,0.33995
0.002,0.91116,0.91116,false,724130,806040,0.46636,0.46636
0.002,1.0723,1.0723,false,586990,638470,0.6048,0.6048
0.002,1.2619,1.2619,false,463300,498970,0.72466,0.72466
0.002,1.485,1.485,false,343260,364600,0.85182,0.85182
0.002,1.7475,1.7475,false,268730,283250,0.90009,0.90009
0.002,2.0565,2.0565,false,201510,211020,0.9569,0.9569
0.002,2.4201,2.4201,false,158270,164520,0.99385,0.99385
0.002,2.848,2.848,false,138410,143140,0.99645,0.99645
